area_group,psa_region,coconut_husk_2025_mt,coconut_husk_2025_share_pct,production_share_basis
Mindanao,REGION X (NORTHERN MINDANAO),1830360.990000,12.617430,"Coconut (w/ husk), PSA 2025"
Mindanao,REGION XI (DAVAO REGION),1818027.050000,12.532407,"Coconut (w/ husk), PSA 2025"
Mindanao,REGION IX (ZAMBOANGA PENINSULA),1645246.750000,11.341361,"Coconut (w/ husk), PSA 2025"
Luzon,REGION IV-A (CALABARZON),1518707.580000,10.469075,"Coconut (w/ husk), PSA 2025"
Mindanao,REGION XII (SOCCSKSARGEN),1173208.430000,8.087408,"Coconut (w/ husk), PSA 2025"
Visayas,REGION VIII (EASTERN VISAYAS),1160691.340000,8.001122,"Coconut (w/ husk), PSA 2025"
Luzon,REGION V (BICOL REGION),1033620.090000,7.125168,"Coconut (w/ husk), PSA 2025"
Luzon,MIMAROPA REGION,815061.890000,5.618556,"Coconut (w/ husk), PSA 2025"
Mindanao,REGION XIII (CARAGA),689995.070000,4.756419,"Coconut (w/ husk), PSA 2025"
Mindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),571460.980000,3.939315,"Coconut (w/ husk), PSA 2025"
Visayas,REGION VI (WESTERN VISAYAS),424452.560000,2.925926,"Coconut (w/ husk), PSA 2025"
Visayas,REGION VII (CENTRAL VISAYAS),223992.430000,1.544072,"Coconut (w/ husk), PSA 2025"
Luzon,REGION II (CAGAYAN VALLEY),80423.680000,0.554393,"Coconut (w/ husk), PSA 2025"
Luzon,REGION III (CENTRAL LUZON),52281.070000,0.360395,"Coconut (w/ husk), PSA 2025"
Luzon,REGION I (ILOCOS REGION),51161.850000,0.352680,"Coconut (w/ husk), PSA 2025"
Luzon,CORDILLERA ADMINISTRATIVE REGION (CAR),1141.640000,0.007870,"Coconut (w/ husk), PSA 2025"
Visayas,NEGROS ISLAND REGION,0.000000,0.000000,"Coconut (w/ husk), PSA 2025"
