location_id,area_group,psa_region,province,map_label,lat,lon,coconut_mature_2025_mt,coconut_mature_2025_share_pct,coconut_husk_2025_mt,coconut_husk_2025_share_pct,production_share_basis,coconut_weight,selected_for_monitor,coord_source,source
QUEZON,Luzon,REGION IV-A (CALABARZON),Quezon,Quezon（8.91%）,13.9347,121.9473,1289933.37,9.163898397088367,1292504.950000,8.909767,"Coconut (w/ husk), PSA 2025",0.089097674045,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ZAMBOANGA_DEL_NORTE,Mindanao,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Norte,Zamboanga del Norte（5.88%）,8.0,123.5,850607.07,6.042852248504147,852799.860000,5.878700,"Coconut (w/ husk), PSA 2025",0.058786996484,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
DAVAO_ORIENTAL,Mindanao,REGION XI (DAVAO REGION),Davao Oriental,Davao Oriental（4.40%）,7.1667,126.3333,636584.7,4.522402201240037,637799.570000,4.396614,"Coconut (w/ husk), PSA 2025",0.043966143568,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
MISAMIS_OCCIDENTAL,Mindanao,REGION X (NORTHERN MINDANAO),Misamis Occidental,Misamis Occidental（4.05%）,8.3375,123.7071,586532.32,4.166821877852901,587330.380000,4.048710,"Coconut (w/ husk), PSA 2025",0.040487095043,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
LANAO_DEL_NORTE,Mindanao,REGION X (NORTHERN MINDANAO),Lanao del Norte,Lanao del Norte（4.03%）,7.8722,123.8854,581367.0,4.1301265967094665,584902.500000,4.031973,"Coconut (w/ husk), PSA 2025",0.040319731304,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SARANGANI,Mindanao,REGION XII (SOCCSKSARGEN),Sarangani,Sarangani（3.97%）,5.9267,125.154,575236.59,4.086575157790963,576134.410000,3.971531,"Coconut (w/ husk), PSA 2025",0.039715310853,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ZAMBOANGA_DEL_SUR,Mindanao,REGION IX (ZAMBOANGA PENINSULA),Zamboanga del Sur,Zamboanga del Sur（3.67%）,7.8388,123.2967,503515.1,3.577053920079445,531684.890000,3.665122,"Coconut (w/ husk), PSA 2025",0.036651222901,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
MISAMIS_ORIENTAL,Mindanao,REGION X (NORTHERN MINDANAO),Misamis Oriental,Misamis Oriental（3.60%）,8.5046,124.621,520628.91,3.698633235472359,522881.880000,3.604440,"Coconut (w/ husk), PSA 2025",0.036044395271,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
PALAWAN,Luzon,MIMAROPA REGION,Palawan,Palawan（2.99%）,9.8349,118.7384,433065.67,3.076569605410704,433723.980000,2.989838,"Coconut (w/ husk), PSA 2025",0.029898375086,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
DAVAO_OCCIDENTAL,Mindanao,REGION XI (DAVAO REGION),Davao Occidental,Davao Occidental（2.99%）,6.0941,125.6438,431099.35,3.0626005453683525,433301.680000,2.986926,"Coconut (w/ husk), PSA 2025",0.029869264213,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SURIGAO_DEL_SUR,Mindanao,REGION XIII (CARAGA),Surigao del Sur,Surigao del Sur（2.59%）,8.5405,126.1145,375108.98,2.664835766327568,375142.890000,2.586014,"Coconut (w/ husk), PSA 2025",0.025860139981,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
MASBATE,Luzon,REGION V (BICOL REGION),Masbate,Masbate（2.56%）,12.36,123.62,368046.0,2.614659197052004,371440.160000,2.560490,"Coconut (w/ husk), PSA 2025",0.025604895597,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
DAVAO_DEL_SUR,Mindanao,REGION XI (DAVAO REGION),Davao del Sur,Davao del Sur（2.37%）,7.5,124.8,330465.54,2.347681440552966,344029.100000,2.371534,"Coconut (w/ husk), PSA 2025",0.023715338664,1,area_group_fallback_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SAMAR,Visayas,REGION VIII (EASTERN VISAYAS),Samar,Samar（2.28%）,11.833,125.0,327417.86,2.326030221570362,331224.220000,2.283265,"Coconut (w/ husk), PSA 2025",0.022832645700,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
CAMARINES_SUR,Luzon,REGION V (BICOL REGION),Camarines Sur,Camarines Sur（2.28%）,13.62,123.19,325969.0,2.3157372823066806,330086.600000,2.275422,"Coconut (w/ husk), PSA 2025",0.022754224882,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
NORTHERN_SAMAR,Visayas,REGION VIII (EASTERN VISAYAS),Northern Samar,Northern Samar（1.83%）,12.333,124.667,263807.0,1.87412823070132,265215.580000,1.828240,"Coconut (w/ husk), PSA 2025",0.018282399072,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ZAMBOANGA_SIBUGAY,Mindanao,REGION IX (ZAMBOANGA PENINSULA),Zamboanga Sibugay,Zamboanga Sibugay（1.80%）,7.77,122.8,252537.08,1.7940648691159735,260762.000000,1.797540,"Coconut (w/ husk), PSA 2025",0.017975395513,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
LEYTE,Visayas,REGION VIII (EASTERN VISAYAS),Leyte,Leyte（1.65%）,10.86,124.87,234730.0,1.6675604498459888,239305.000000,1.649628,"Coconut (w/ husk), PSA 2025",0.016496276387,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ROMBLON,Luzon,MIMAROPA REGION,Romblon,Romblon（1.59%）,12.58,122.27,225713.13,1.6035031252884004,230389.400000,1.588169,"Coconut (w/ husk), PSA 2025",0.015881687466,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
DAVAO_DEL_NORTE,Mindanao,REGION XI (DAVAO REGION),Davao del Norte,Davao del Norte（1.52%）,7.45,125.8,219583.96,1.5599604955334367,220012.480000,1.516636,"Coconut (w/ husk), PSA 2025",0.015166363757,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SULU,Mindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Sulu,Sulu（1.48%）,5.9749,120.974,214558.85,1.5242612892448262,214724.420000,1.480184,"Coconut (w/ husk), PSA 2025",0.014801836065,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SULTAN_KUDARAT,Mindanao,REGION XII (SOCCSKSARGEN),Sultan Kudarat,Sultan Kudarat（1.45%）,6.55,124.28,206588.49,1.4676385435070232,211038.590000,1.454776,"Coconut (w/ husk), PSA 2025",0.014547756666,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SOUTH_COTABATO,Mindanao,REGION XII (SOCCSKSARGEN),South Cotabato,South Cotabato（1.45%）,6.25,125.0,208220.47,1.4792323973090071,210513.360000,1.451155,"Coconut (w/ husk), PSA 2025",0.014511550406,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
EASTERN_SAMAR,Visayas,REGION VIII (EASTERN VISAYAS),Eastern Samar,Eastern Samar（1.38%）,11.5,125.5,198291.03,1.4086920256772653,199778.680000,1.377156,"Coconut (w/ husk), PSA 2025",0.013771564830,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
LANAO_DEL_SUR,Mindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Lanao del Sur,Lanao del Sur（1.29%）,7.87,124.27,179272.46,1.2735809825867892,187543.090000,1.292812,"Coconut (w/ husk), PSA 2025",0.012928115364,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
DAVAO_DE_ORO,Mindanao,REGION XI (DAVAO REGION),Davao de Oro,Davao de Oro（1.26%）,7.6,126.0,182791.79,1.2985828805885635,182884.220000,1.260696,"Coconut (w/ husk), PSA 2025",0.012606960323,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
COTABATO,Mindanao,REGION XII (SOCCSKSARGEN),Cotabato,Cotabato（1.21%）,7.11,124.85,174002.98,1.2361457317059712,175522.070000,1.209946,"Coconut (w/ husk), PSA 2025",0.012099457090,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
AGUSAN_DEL_NORTE,Mindanao,REGION XIII (CARAGA),Agusan del Norte,Agusan del Norte（1.16%）,8.95,125.55,167189.0,1.1877380993026074,168569.370000,1.162018,"Coconut (w/ husk), PSA 2025",0.011620178926,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
NEGROS_OCCIDENTAL,Visayas,NEGROS ISLAND REGION,Negros Occidental,Negros Occidental（0.94%）,10.42,123.0,107528.49,0.7639000432652832,136613.950000,0.941736,"Coconut (w/ husk), PSA 2025",0.009417360597,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
BOHOL,Visayas,REGION VII (CENTRAL VISAYAS),Bohol,Bohol（0.93%）,9.85,124.14,131295.94,0.9327479093824904,134731.350000,0.928759,"Coconut (w/ husk), PSA 2025",0.009287585247,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
TAWI_TAWI,Mindanao,BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),Tawi-tawi,Tawi-tawi（0.90%）,5.133,120.0,123930.0,0.8804190625374405,131145.000000,0.904036,"Coconut (w/ husk), PSA 2025",0.009040363414,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
CAMARINES_NORTE,Luzon,REGION V (BICOL REGION),Camarines Norte,Camarines Norte（0.89%）,14.14,122.76,127820.97,0.9080611521022052,128719.060000,0.887313,"Coconut (w/ husk), PSA 2025",0.008873133408,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ANTIQUE,Visayas,REGION VI (WESTERN VISAYAS),Antique,Antique（0.86%）,11.25,122.1,122271.97,0.8686401452594694,124173.170000,0.855977,"Coconut (w/ husk), PSA 2025",0.008559766542,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
CAPIZ,Visayas,REGION VI (WESTERN VISAYAS),Capiz,Capiz（0.85%）,11.58,122.75,116280.19,0.8260735566164406,122962.840000,0.847633,"Coconut (w/ husk), PSA 2025",0.008476333524,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
ALBAY,Luzon,REGION V (BICOL REGION),Albay,Albay（0.83%）,13.177,123.528,119566.89,0.8494228129130741,119713.500000,0.825234,"Coconut (w/ husk), PSA 2025",0.008252343174,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
NEGROS_ORIENTAL,Visayas,NEGROS ISLAND REGION,Negros Oriental,Negros Oriental（0.80%）,9.8,123.0,109370.82,0.7769882579952486,115884.670000,0.798841,"Coconut (w/ husk), PSA 2025",0.007988406199,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
LAGUNA,Luzon,REGION IV-A (CALABARZON),Laguna,Laguna（0.67%）,14.17,121.33,81725.65,0.5805924324882028,97801.020000,0.674183,"Coconut (w/ husk), PSA 2025",0.006741825941,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
CAMIGUIN,Mindanao,REGION X (NORTHERN MINDANAO),Camiguin,Camiguin（0.62%）,9.17,124.72,89545.19,0.636143728189599,89939.220000,0.619988,"Coconut (w/ husk), PSA 2025",0.006199879782,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
SURIGAO_DEL_NORTE,Mindanao,REGION XIII (CARAGA),Surigao del Norte,Surigao del Norte（0.62%）,9.78,125.49,89376.08,0.634942342990973,89419.120000,0.616403,"Coconut (w/ husk), PSA 2025",0.006164027153,1,manual_province_centroid,User uploaded PSA coconut production workbook; 2025 Coconut Mature used for CNO/Copra weight
